"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Albania","ALB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","505314.458","723627.4161","7530000","39134188.22","17207967.41","741635.9962","13323433.57","1668465.296","1184975.49","",
"Albania","ALB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0873500034213066","0.153080001473427","","","","","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","2","11","6","15","8","12","17","15.1","18.6","10.4","14.5","15.9","6.7","10.3","16.8","8.9","7.3","9","10.2","12.3","13.5","8","18.3","26.9","","","",
"Albania","ALB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","120","238","391","","386","","","","361","","8","","4","",
"Albania","ALB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","",
"Albania","ALB","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","1059","2637","2803","2805","2540","2703","2766","2308","2281","2540","3555","3699","4015","4380","3810","3562","3560","2700","2931","",
"Albania","ALB","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","26","36","27","17","32","54","106","132","128","147","186","148","216","213","286","274","","377","",
"Albania","ALB","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","1063","2663","2839","2832","2557","2735","2820","2414","2413","2668","3702","3885","4163","4596","4023","3848","3834","2700","3308","",
"Albania","ALB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147.943618774414","","","","","","",
"Albania","ALB","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.0154914855957","","","","","","",
"Albania","ALB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247748","302707","1070147","5144499","1489031","1858694","1950417","3614505","4872125","3607944","3968947","9945986","6296633","5832068","8585833","6202700","4819147","6256686","",
"Albania","ALB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.179503227852738","0.339874041348881","0.761716062589341","1.74455386513131","0.697374879419064","0.724100711307847","0.699557264166718","0.959974650011442","0.991776724901072","4.22269969691477","6.1674149347664","1.31430513179235","3.46961564193234","0.764653339194069","0.893509248780069","0.530148790877421","0.443274093451163","0.513330673282242","",
"Arab World","ARB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289649778.384","264755627.293908","513265852.82","385879185.75233","392258199.62","435296356.6883","407406984.1028","589741637.88","281836750.32195","",
"Arab World","ARB","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174411828.81","318268578.537","157473828.15","41334881.8704","64039306.119","48832293.591","43414567.297319","30514082.139","98645545.8678","",
"Arab World","ARB","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2671","2675","2978","3234","3216","3194","3077","3108","3376","3509.3","3470.6","3595.5","3722.1","3861.7","4048.7","4204.1","4294.5","4595.1","4735.4","4954.9","5247.7","5647.7","6099.4","6580.6","7046.8","7754.9","","","",
"Arab World","ARB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","2033","2465","1931","1829","1806","1945","1953","1841","2176","2305","1984","1846","2002","2127","1948","1862","","1725","","","","","","1202","","","1499","1815","1780","2081","2131","","3318","","2428","2073","1892","1746","1946","2891","","4738","","","","","","","",
"Arab World","ARB","Patent applications, residents","IP.PAT.RESD","","","","","","","176","180","","170","160","175","189","214","209","142","","","149","165","162","171","","193","","","","","","549","","","","702","703","795","902","","777","809","1124","831","991","874","932","982","","1027","","","","","","","",
"Arab World","ARB","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","3706","4470","","5457","5362","5898","5208","4929","6641","5982","6126","5213","5746","5133","6512","5893","5948","","","","","","","","","","","","","","","","","","","","22713","19660","18417","","21461","26403","31223","32248","27907","","26491","58743","57518","59326","",
"Arab World","ARB","Trademark applications, direct resident","IP.TMK.RESD","","","","","1377","1675","","2048","1978","2400","1996","2713","2034","2118","2075","1953","1421","1662","1839","1996","2463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trademark applications, total","IP.TMK.TOTL","","","","","5083","6145","20898","7505","7340","8298","7204","8171","9219","8100","8201","7166","7167","6795","8351","7889","8411","","","","","","","","","","","","","","","","","","27859","23723","36881","29509","30771","30455","43265","50058","56946","58333","49855","44844","44979","78708","82325","82662","",
"Arab World","ARB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","861955361","827430225","942063102","1162803371","1227386650","1313886262","1722503887","1763771723","2038301280","1483228146","2325783024","","","","",
"Arab World","ARB","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27383745107333","1.42871302168817","3.22872299584953","0.904028800014878","1.13337458890896","","1.80111474526237","2.87576416283586","1.76056822336782","1.51501463394484","1.51261357248502","2.00561869686421","1.18156216059822","1.45743933452575","1.35392870448155","1.05277438267727","1.4724664357112","1.43320375981903","","","","","",
"United Arab Emirates","ARE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.489109992980957","","","",
"United Arab Emirates","ARE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","20","23","30","33","57","77","109","98","120.2","143.1","151.6","155.5","129.9","144.7","156","163.3","178.3","210.2","229.3","229.6","214","255.5","264.8","276.1","323.5","","","",
"United Arab Emirates","ARE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325","1331","1408","",
"United Arab Emirates","ARE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","20","18","",
"United Arab Emirates","ARE","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12851","12668","13454","",
"United Arab Emirates","ARE","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3208","4130","5293","",
"United Arab Emirates","ARE","Trademark applications, total","IP.TMK.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16059","16798","18747","",
"United Arab Emirates","ARE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15771","136590","51757","","","","","","6367751","5003130","17105411","7267038","8237510","10354212","43157534","26369910","39672400","204925025","23373326","50474248","66644653","","","",
"United Arab Emirates","ARE","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0264786378371928","0.151992165621186","0.0316455206675601","","","","","","1.12098329514486","0.708440058371848","1.96507194450091","","","","1.87148890208996","","1.0703835678953","3.20278543864225","","","","","","",
"Argentina","ARG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","650640000","806370000","1042140000","1463220000","1461447055","1609794724","1939027387","2134534550","2298671549","",
"Argentina","ARG","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51080000","71320000","106180000","104770000","101688206.1","144699285","176364885.1","182907581.8","163054184.8","",
"Argentina","ARG","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.417490005493164","0.419589996337891","0.411309987306595","0.453370004892349","0.438840001821518","0.424609988927841","0.388859987258911","0.410129994153976","0.437559992074966","0.460770010948181","0.494619995355606","0.507929980754852","0.523810029029846","0.595099985599518","0.617449998855591","0.646960020065308","","","",
"Argentina","ARG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","892","","","","1190","1459","1475","1423","1518","1627","1499","1526","1585","1747","1967.2","2287.2","2450.8","2550.7","2635.8","2846.1","2930.7","3178.1","2919.8","2981.6","3058.4","3264","3364.3","3567.1","3655.2","3767.6","3862.8","","","",
"Argentina","ARG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","5500","5096","2327","4205","4074","3703","3037","2547","2800","2862","3168","3063","3321","2793","2443","2656","","","","","","1955","1851","1919","2261","2820","3588","4012","5035","5459","5558","5574","5088","4143","3765","3816","4215","4597","4806","4781","","","","4078","4129","",
"Argentina","ARG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","1830","1982","1081","1824","1756","1686","1616","1715","1704","1574","1314","1269","954","951","1102","1182","","","","","","955","943","503","787","694","676","1097","824","861","899","1062","691","718","792","786","1054","1020","937","801","","","","735","643","",
"Argentina","ARG","Trademark applications, direct nonresident","IP.TMK.NRES","","","","","","","","6550","6856","9226","8231","4033","4213","4060","3482","2689","2630","3311","4198","5276","6818","7075","5161","4484","","","7216","7611","8165","8237","14475","9703","10596","10650","13551","17788","14279","17410","19439","19342","18947","12996","12091","19373","16748","16708","18362","","","","","","21998","22487","",
"Argentina","ARG","Trademark applications, direct resident","IP.TMK.RESD","","","","","","","","24729","25367","31504","26153","15975","17187","18075","20533","24978","25390","26579","21266","21635","18498","22667","19455","23879","","","51434","46106","37092","33368","52578","34654","26749","27037","36316","43096","33693","42784","52569","45377","42900","27587","30721","61843","59683","61464","60777","","","","","","61165","65434","",
"Argentina","ARG","Trademark applications, total","IP.TMK.TOTL","","","","24240","27206","28225","","31279","32223","40730","34384","20008","21400","22135","24015","27667","28020","29890","25464","26911","25316","29742","24616","28363","","","58650","53717","45257","41605","67053","44357","37345","37687","49867","60884","47972","60194","72008","64719","61847","40583","42812","81216","76431","78172","79139","58389","62074","59403","69565","","83163","87921","",
"Argentina","ARG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694.969421386719","703.945251464844","712.154296875","715.929626464844","688.320007324219","693.18896484375","720.745422363281","769.301452636719","824.573608398438","898.716796875","983.464660644531","1046.54992675781","1092.27941894531","1178.474609375","1235.97961425781","","","",
"Argentina","ARG","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159.761154174805","170.509887695313","156.293823242188","158.14404296875","166.633743286133","161.371139526367","169.289703369141","181.864318847656","201.511840820313","209.059387207031","196.586151123047","207.580978393555","221.169281005859","236.487518310547","258.325103759766","","","",
"Argentina","ARG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255887224","271336431","247037164","285394512","400463473","460222625","544457420","599028286","797074012","800150443","600022456","710281801","761458020","840303735","1043916907","1139881387","1948517138","1546820304","1648289776","1978069865","1945836328","2433526528","",
"Argentina","ARG","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.95319101738916","6.47917455111123","4.75737050523623","4.02028497993517","5.59195717999793","5.07483159624345","5.90945120886604","8.10406311778607","9.35185630557545","9.26734447550764","7.66904536724454","8.89749476292353","7.71902367797146","6.82663003884753","7.05418221980282","6.59445029079414","9.01736918631716","8.68693306584071","7.50483414393967","7.48073935864493","7.69544073664613","9.84358697736032","",
"Armenia","ARM","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.186920002102852","0.226009994745255","0.214000001549721","0.184630006551743","0.279870003461838","0.252550005912781","0.239710003137589","0.212009996175766","0.257609993219376","0.240569993853569","0.211070001125336","0.224380001425743","0.29093000292778","0.241390004754066","0.270139992237091","","","",
"Armenia","ARM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","21","165","178","166","197.9","172.3","165.9","163.9","175.4","156.7","172.8","184.1","191.2","179.9","179.5","174.8","190.7","164.2","183.4","184.6","","","",
"Armenia","ARM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","79","98","154","121","8","16","8","15","7","6","6","2","1","5","4","11","6","19","4","6","",
